Date,Open,High,Low,Close,Adj Close,Volume
1996/7/16,30.4,30.4,30.04,30.04,X,507
1996/7/17,30.4,30.4,30,30.18,0.14,441
1996/7/18,30.14,30.14,29.97,29.99,-0.19,497
1996/7/19,29.99,30.05,29.94,30.05,0.06,218
1996/7/20,30.15,30.5,30.1,30.5,0.45,296
1996/7/23,30.4,30.55,30.35,30.45,-0.05,234
1996/7/24,30.45,30.84,30.45,30.7,0.25,306
1996/7/25,30.7,30.83,30.5,30.7,,173
1996/7/26,30.7,31,30.4,30.4,-0.3,243
1996/7/27,29.5,29.82,28.79,29.6,-0.8,623
1996/7/30,29.2,29.2,28.5,28.8,-0.8,312
1996/7/31,29.2,29.45,29.15,29.4,0.6,185
1996/8/1,29.4,29.45,28.9,29,-0.4,177
1996/8/2,29.3,29.4,28.65,29.2,0.2,133
1996/8/3,29.4,29.42,29.2,29.21,0.01,82
1996/8/6,29.1,29.1,28.8,29,-0.21,102
1996/8/7,29.2,29.3,28.75,28.75,-0.25,116
1996/8/8,28.8,29,28.75,29,0.25,99
1996/8/9,29.1,29.41,29.1,29.3,0.3,121
1996/8/10,28.8,28.8,28.65,28.79,-0.51,90
1996/8/13,28.91,28.91,28.6,28.79,,47
1996/8/14,29,29.25,28.6,28.9,0.11,68
1996/8/15,28.7,28.79,28.07,28.2,-0.7,102
1996/8/16,27.55,27.55,26.5,26.7,-1.5,278
1996/8/17,26.7,26.9,25.12,25.7,-1,235
1996/8/20,27.49,27.49,26.72,27.45,1.75,143
1996/8/21,27.45,27.5,27.15,27.36,-0.09,74
1996/8/22,27.4,27.4,27.15,27.36,,48
1996/8/23,27.8,28,27.6,27.8,0.44,77
1996/8/24,27.9,27.9,27.61,27.78,-0.02,39
1996/8/27,28,28.3,28,28,0.22,84
1996/8/28,28,28,27.78,27.81,-0.19,27
1996/8/29,27.1,27.4,27.01,27.2,-0.61,54
1996/8/30,27.6,27.69,27.21,27.36,0.16,80
1996/8/31,27.38,28.4,27.38,28.4,1.04,82
1996/9/3,28.55,28.55,28.4,28.41,0.01,62
1996/9/4,28.34,28.43,28.2,28.35,-0.06,63
1996/9/5,28.5,28.56,28.41,28.51,0.16,48
1996/9/6,28.4,28.86,28.19,28.7,0.19,56
1996/9/7,28.89,28.89,28.7,28.74,0.04,39
1996/9/10,28.6,28.6,28.3,28.6,-0.14,38
1996/9/11,28.5,28.75,28.5,28.75,0.15,87
1996/9/12,28.8,28.93,28.75,28.8,0.05,50
1996/9/13,29,29,28.6,28.9,0.1,34
1996/9/14,29.08,29.08,28.72,28.9,,31
1996/9/17,28.9,28.9,28.51,28.51,-0.39,21
1996/9/19,28.97,28.97,28.38,28.68,0.17,60
1996/9/20,28.73,28.78,28.39,28.39,-0.29,68
1996/9/21,28.4,28.64,28.39,28.56,0.17,41
1996/9/26,28.74,29.14,28.74,29.1,0.54,116
